date,whale_id,ticker,name,position_type,shares,cost_price,market_price,cost_basis,market_value,unrealized_pnl,pnl_pct
2026-07-24,大戶B,8996,高力,現股,18000,1120.00,1005.00,20188728,18090000,-2178776,-10.79
2026-07-24,大戶D,3231,緯創,融資,500000,147.70,179.00,29564000,89500000,15328413,51.85
2026-07-24,大戶D,3362,先進光,融資,50000,211.00,150.50,4223428,7525000,-3053448,-72.30
2026-07-24,大戶D,4971,IET-KY,融資,100000,304.40,402.00,13063882,40200000,9616453,73.61
2026-07-24,大戶D,4971,IET-KY,現股,500000,91.71,402.00,45871751,201000000,154459924,336.72
2026-07-24,大戶D,7789,開展,現股,150000,19.39,40.15,2908687,6022500,3087164,106.14
2026-07-24,大戶D,7851,慧康生技-KY,現股,167000,3.26,28.35,544879,4734450,4168622,765.05
2026-07-24,大戶D,7924,TLC-KY,現股,10000,290.00,216.00,2900939,2160000,-750497,-25.87
2026-07-24,大戶E,3167,大量,現股,20000,792.00,620.00,15862570,12400000,-3517440,-22.17
2026-07-24,大戶E,3167,大量,融資,20000,843.55,620.00,8460040,12400000,-4549910,-53.78
2026-07-24,大戶E,3653,健策,融資,30000,2654.50,3430.00,31967478,102900000,22696190,71.00
2026-07-24,大戶E,3653,健策,現股,15000,3650.00,3430.00,54828018,51450000,-3605684,-6.58
2026-07-24,大戶E,7734,印能科技,現股,7000,2774.29,3460.00,19447672,24220000,4665155,23.99
2026-07-24,大戶E,7734,印能科技,融資,20000,3235.00,3460.00,25972194,69200000,4101596,15.79
2026-07-24,大戶E,8021,尖點,現股,210000,414.14,370.00,87093917,77700000,-9737739,-11.18
2026-07-24,大戶H,00631L,元大台灣50正2,融資,2000000,35.71,33.50,28672767,67000000,-4684242,-16.34
2026-07-24,大戶H,1785,光洋科,融資,600000,158.40,106.00,38150919,63600000,-31854349,-83.50
2026-07-24,大戶H,2384,勝華,現股,1300000,2.36,0.00,3072368,0,0,0.00
2026-07-24,大戶H,2454,聯發科,融資,30000,4457.83,3750.00,53684565,112500000,-21923377,-40.84
2026-07-24,大戶H,3661,世芯-KY,融資,25000,3312.00,3405.00,33237984,85125000,1830338,5.51
2026-07-24,大戶H,4966,譜瑞-KY,融資,40000,779.53,611.00,12523423,24440000,-6893570,-55.05
2026-07-24,大戶H,5351,鈺創,融資,200000,101.13,84.80,8118819,16960000,-3368867,-41.49
2026-07-24,大戶H,6488,環球晶,現股,30000,1022.37,1030.00,30714691,30900000,48577,0.16
2026-07-24,大戶H,7751,竑騰,現股,35000,1712.00,1145.00,60005378,40075000,-20107709,-33.51
2026-07-24,大戶F,2303,聯電,股票期貨,340000,128.5,104.75,43690000,35614430,-8075570,-18.48
2026-07-24,大戶F,6182,合晶,股票期貨,290000,115.0,42.44,33350000,12308227,-21041773,-63.10
2026-07-24,大戶F,2327,國巨,股票期貨,30500,639.0,575.65,19489500,17557435,-1932065,-9.91
2026-07-24,大戶F,2308,台達電,股票期貨,8000,1809.0,1730.77,14472000,13846120,-625880,-4.32
2026-07-24,大戶F,8046,南電,股票期貨,6000,1113.0,934.96,6678000,5609739,-1068261,-15.99
2026-07-24,大戶F,2330,台積電,股票期貨,2000,2362.0,2267.30,4724000,4534600,-189400,-4.01
2026-07-24,大戶F,8039,台虹,股票期貨,16000,243.0,298.93,3888000,4782821,894821,23.02
2026-07-24,大戶F,2454,聯發科,股票期貨,1000,3780.0,3717.72,3780000,3717720,-62280,-1.65
2026-07-24,大戶F,6488,環球晶,股票期貨,2000,1027.0,498.52,2054000,997040,-1056960,-51.46
2026-07-24,大戶F,6271,同欣電,股票期貨,2000,187.5,136.99,375000,273975,-101025,-26.94
2026-07-31,大戶F,2303,聯電,股票期貨,340000,152.24,111.00,51761600,37740000,-14025570,-27.09
2026-07-31,大戶F,2308,台達電,股票期貨,4000,1701.10,1564.00,6804400,6256000,-548546,-8.06
2026-07-31,大戶F,6271,同欣電,股票期貨,2000,238.00,150.00,476000,300000,-176025,-36.98
2026-07-31,大戶F,8039,台虹,股票期貨,16000,187.06,160.50,2992960,2568000,-425179,-14.21
2026-07-31,大戶F,8046,南電,股票期貨,6000,1291.01,863.00,7746060,5178000,-2568261,-33.15
2026-07-31,大戶F,6488,環球晶,股票期貨,2000,1561.00,795.00,3122000,1590000,-1520960,-48.72
2026-07-31,大戶F,6182,合晶,股票期貨,290000,187.55,86.70,54389500,25143000,-29248773,-53.78
2026-07-31,大戶F,2454,聯發科,股票期貨,500,3842.05,3250.00,1921025,1625000,-296140,-15.42
2026-07-31,大戶F,2330,台積電,股票期貨,1000,2456.00,2214.00,2456000,2214000,-242200,-9.86
2026-07-31,大戶F,3374,精材,股票期貨,6000,350.00,258.50,2100000,1551000,-549087,-26.15
2026-08-03,大戶I,00980A,復華未來50,融資,400000,14.7951,15.81,2371026,6324000,389821,16.44
2026-08-03,大戶I,2327,國巨,現股,30000,824.8524,552.00,24745571,16560000,-8258849,-33.37
2026-08-03,大戶I,2493,揚博,融資,60000,267.6811,184.00,6560863,11040000,-5096490,-77.69
2026-08-03,大戶I,3443,創意,融資,7000,4046.7289,4185.00,11338102,29295000,819510,7.23
2026-08-03,大戶I,3653,健策,融資,10000,3446.4726,3765.00,13794726,37650000,3016125,21.86
2026-08-03,大戶I,8299,群聯,融資,25000,1902.6128,1730.00,20118321,43250000,-4569140,-22.71
2026-08-03,大戶F,2303,聯電,股票期貨,340000,152.24,118.00,51761600,40120000,-11645570,-22.50
2026-08-03,大戶F,2308,台達電,股票期貨,8000,1705.55,1582.00,13644400,12656000,-988713,-7.25
2026-08-03,大戶F,6271,同欣電,股票期貨,2000,238.00,168.00,476000,336000,-140025,-29.42
2026-08-03,大戶F,8039,台虹,股票期貨,34000,177.24,191.50,6026160,6511000,484623,8.04
2026-08-03,大戶F,8046,南電,股票期貨,6000,1291.01,952.00,7746060,5712000,-2034261,-26.26
2026-08-03,大戶F,6488,環球晶,股票期貨,2000,1561.00,873.00,3122000,1746000,-1364960,-43.72
2026-08-03,大戶F,6182,合晶,股票期貨,328000,163.75,87.70,53710000,28765600,-24949037,-46.45
2026-08-03,大戶F,2454,聯發科,股票期貨,1000,3809.53,3930.00,3809530,3930000,120246,3.16
2026-08-03,大戶F,2330,台積電,股票期貨,1400,2423.57,2367.00,3392998,3313800,-79480,-2.34
2026-08-03,大戶F,3374,精材,股票期貨,6000,350.00,312.00,2100000,1872000,-228087,-10.86
2026-08-04,大戶I,00981A,主動復華未來50,融資,500000,15.0444,16.33,3014210,8165000,642800,21.33
2026-08-04,大戶I,2327,國巨,現股,30000,824.8524,566.00,24745571,16980000,-7765572,-31.39
2026-08-04,大戶I,2493,揚博,融資,100000,239.9375,220.00,9738752,22000000,-1993750,-20.47
2026-08-04,大戶I,3443,創意,融資,7000,4046.7289,4145.00,11338102,29015000,687898,6.07
2026-08-04,大戶I,3532,台勝科,現股,50000,269.6152,291.50,13480760,14575000,1094240,8.12
2026-08-04,大戶I,3653,健策,融資,12000,3498.1613,4145.00,16801936,49740000,7762064,46.20
2026-08-04,大戶I,4958,臻鼎-KY,融資,20000,443.1893,444.00,3547787,8880000,16214,0.46
2026-08-04,大戶I,8299,群聯,融資,25000,1902.6128,1820.00,20118321,45500000,-2065320,-10.27
