date,whale_id,ticker,name,position_type,shares,cost_price,market_price,cost_basis,market_value,unrealized_pnl,pnl_pct
2026-09-16,安大戶,6696,仁新,估算(%),0,0,0,0,87600000,0,0
2026-09-16,安大戶,2887,台新新光金,估算(%),0,0,0,0,73400000,0,0
2026-09-16,安大戶,2883,凱基金,估算(%),0,0,0,0,72600000,0,0
2026-09-16,安大戶,7926,中華立鼎,估算(%),0,0,0,0,14600000,0,0
2026-09-16,安大戶,6669,緯穎,估算(%),0,0,0,0,8400000,0,0
2026-09-16,安大戶,6870,騰雲,估算(%),0,0,0,0,7800000,0,0
2026-09-16,安大戶,BLTE,(Belite Bio),估算(%),0,0,0,0,4800000,0,0
2026-09-16,安大戶,2881,富邦金,估算(%),0,0,0,0,0,0,0
2026-09-16,安大戶,2890,永豐金,估算(%),0,0,0,0,0,0,0
2026-09-16,安大戶,2884,玉山金,估算(%),0,0,0,0,0,0,0
