date,whale_id,ticker,name,position_type,shares,cost_price,market_price,cost_basis,market_value,unrealized_pnl,pnl_pct
2026-09-18,安大戶,6696,仁新,估算(%),0,0,0,0,83800000,0,0
2026-09-18,安大戶,2454,聯發科,估算(%),0,0,0,0,85200000,0,0
2026-09-18,安大戶,3443,創意,估算(%),0,0,0,0,60400000,0,0
2026-09-18,安大戶,6870,騰雲,估算(%),0,0,0,0,15200000,0,0
2026-09-18,安大戶,6669,緯穎,估算(%),0,0,0,0,8200000,0,0
2026-09-18,安大戶,7926,中華立鼎,估算(%),0,0,0,0,7400000,0,0
2026-09-18,安大戶,BLTE,(Belite Bio),估算(%),0,0,0,0,4800000,0,0
2026-09-18,安大戶,2883,凱基金,估算(%),0,0,0,0,0,0,0
2026-09-18,安大戶,2887,台新新光金,估算(%),0,0,0,0,0,0,0
