date,whale_id,ticker,name,position_type,shares,cost_price,market_price,cost_basis,market_value,unrealized_pnl,pnl_pct
2026-07-13,大戶A,2303,聯電,融資,200000,122.6774,151.5,9820483,30300000,5764520,58.70
2026-07-13,大戶A,2327,國巨,現股,40000,874.1484,816,34965937,32640000,-2325936,-6.65
2026-07-13,大戶A,2330,台積電,融資,40000,2392.7721,2445,38308885,97800000,2089116,5.45
2026-07-13,大戶A,2493,揚博,融資,65000,279.935,259,7284774,16835000,-1360775,-18.68
2026-07-13,大戶A,3450,聯鈞,融資,45000,523.557,500,9431064,22500000,-1060065,-11.24
2026-07-13,大戶A,6683,雍智科技,融資,14000,1727.5238,1700,9680333,23800000,-385333,-3.98
2026-07-13,大戶A,8299,群聯,融資,20000,2526.079,2170,20221580,43400000,-7121580,-35.22
