whale_id,ticker,name,position_type,shares,cost_price,market_price,cost_basis,market_value,unrealized_pnl,pnl_pct
高大戶,3105,穩懋,股票期貨,104000,436.22,505.00,45366880,52520000,7153600,15.77
高大戶,2303,聯電,股票期貨,236000,143.95,161.50,33972200,38114000,4141600,12.19
高大戶,6182,合晶,股票期貨,180000,103.54,119.50,18637200,21510000,2872600,15.41
高大戶,2449,京元電,股票期貨,66000,294.51,318.00,19437660,20988000,1550200,7.98
高大戶,3653,健策,股票期貨,1500,5869.99,5860.00,8804985,8790000,-14985,-0.17
高大戶,2330,台積電,股票期貨,3500,2395.74,2487.00,8385090,8704500,343910,4.10
高大戶,3665,貿聯,股票期貨,3300,2236.30,2248.00,7379790,7418400,38600,0.52
高大戶,8046,南電,股票期貨,6000,1061.49,1177.00,6368940,7062000,693060,10.88
高大戶,5274,信驊,股票期貨,300,21113.33,20955.00,6333999,6286500,-47500,-0.75
高大戶,3189,景碩,股票期貨,4000,806.03,915.00,3224120,3660000,435880,13.52
高大戶,2327,國巨,股票期貨,6000,589.00,577.00,3534000,3462000,-72000,-2.04
高大戶,2455,全新,股票期貨,6000,519.29,550.00,3115740,3300000,184260,5.91
高大戶,8358,金居,股票期貨,6000,494.51,493.50,2967060,2961000,-6080,-0.20
高大戶,2454,聯發科,股票期貨,500,4618.05,5245.00,2309025,2622500,313475,13.58
高大戶,2344,華邦電,股票期貨,12000,175.00,172.50,2100000,2070000,-30000,-1.43
高大戶,6488,環球晶,股票期貨,2000,897.98,969.00,1795960,1938000,142045,7.91
高大戶,2388,威盛,股票期貨,26000,73.93,70.30,1922180,1827800,-94380,-4.91
高大戶,8039,台虹,股票期貨,6000,265.23,261.50,1591380,1569000,-22400,-1.41
安大戶,6696,仁新,估算(%),0,0,0,0,90600000,0,0
安大戶,2454,聯發科,估算(%),0,0,0,0,80000000,0,0
安大戶,3443,創意,估算(%),0,0,0,0,60400000,0,0
安大戶,7729,仲恩生醫,估算(%),0,0,0,0,15000000,0,0
安大戶,6870,騰雲,估算(%),0,0,0,0,12400000,0,0
安大戶,6669,緯穎,估算(%),0,0,0,0,6800000,0,0
安大戶,BLTE,(Belite Bio),估算(%),0,0,0,0,4000000,0,0
